16,3,104,4,20,"enter_pattern@19-38@Python/aho_corasick.py","Python/aho_corasick.py","enter_pattern","enter_pattern( pat , idx , goto_fn , output_fn )",19,38
9,4,70,3,15,"build_goto@41-55@Python/aho_corasick.py","Python/aho_corasick.py","build_goto","build_goto( patterns , goto_fn , output_fn )",41,55
22,7,139,2,34,"build_failure@58-91@Python/aho_corasick.py","Python/aho_corasick.py","build_failure","build_failure( goto_fn , output_fn )",58,91
7,1,45,1,8,"init_aho_corasick@94-101@Python/aho_corasick.py","Python/aho_corasick.py","init_aho_corasick","init_aho_corasick( patterns_data )",94,101
11,4,73,2,15,"aho_corasick@110-124@Python/aho_corasick.py","Python/aho_corasick.py","aho_corasick","aho_corasick( pat_data , sequence )",110,124
33,11,213,4,45,"run@6-50@Python/run.py","Python/run.py","run","run( init , code , name , argv )",6,50
34,11,217,4,46,"run_multi@53-98@Python/run.py","Python/run.py","run_multi","run_multi( init , code , name , argv )",53,98
41,13,250,5,53,"run_approx_main@101-153@Python/run.py","Python/run.py","run_approx_main","run_approx_main( init , code , name , argv , preprocess = True )",101,153
2,1,22,4,2,"run_approx@156-157@Python/run.py","Python/run.py","run_approx","run_approx( init , code , name , argv )",156,157
2,1,24,4,2,"run_approx_raw@160-161@Python/run.py","Python/run.py","run_approx_raw","run_approx_raw( init , code , name , argv )",160,161
12,2,71,2,16,"calc_s_positions@11-26@Python/shift_or.py","Python/shift_or.py","calc_s_positions","calc_s_positions( pat , m )",11,26
5,2,29,1,6,"init_shift_or@29-34@Python/shift_or.py","Python/shift_or.py","init_shift_or","init_shift_or( pattern )",29,34
10,3,63,2,14,"shift_or@37-50@Python/shift_or.py","Python/shift_or.py","shift_or","shift_or( pat_data , seq )",37,50
14,6,96,2,17,"make_next_table@8-24@Python/kmp.py","Python/kmp.py","make_next_table","make_next_table( pattern , m )",8,24
5,1,34,1,6,"init_kmp@27-32@Python/kmp.py","Python/kmp.py","init_kmp","init_kmp( pattern )",27,32
15,5,85,2,21,"kmp@35-55@Python/kmp.py","Python/kmp.py","kmp","kmp( pat_data , sequence )",35,55
5,2,39,2,7,"calc_bad_char@10-16@Python/boyer_moore.py","Python/boyer_moore.py","calc_bad_char","calc_bad_char( pat , m )",10,16
16,7,128,2,21,"calc_suffixes@19-39@Python/boyer_moore.py","Python/boyer_moore.py","calc_suffixes","calc_suffixes( pat , m )",19,39
15,7,113,2,20,"calc_good_suffix@42-61@Python/boyer_moore.py","Python/boyer_moore.py","calc_good_suffix","calc_good_suffix( pat , m )",42,61
5,1,41,1,6,"init_boyer_moore@64-69@Python/boyer_moore.py","Python/boyer_moore.py","init_boyer_moore","init_boyer_moore( pattern )",64,69
16,5,109,2,20,"boyer_moore@72-91@Python/boyer_moore.py","Python/boyer_moore.py","boyer_moore","boyer_moore( pat_data , seq )",72,91
3,1,31,1,4,"read_header@1-4@Python/input.py","Python/input.py","read_header","read_header( f )",1,4
7,2,51,1,11,"read_sequences@7-17@Python/input.py","Python/input.py","read_sequences","read_sequences( file )",7,17
2,1,10,1,2,"read_patterns@20-21@Python/input.py","Python/input.py","read_patterns","read_patterns( file )",20,21
21,6,136,2,28,"read_answers@24-51@Python/input.py","Python/input.py","read_answers","read_answers( file , need_k = False )",24,51
7,2,74,1,9,"calc_bad_char@21-29@Rust/boyer_moore/src/main.rs","Rust/boyer_moore/src/main.rs","calc_bad_char","calc_bad_char pat : & [ u8 ] , m : usize",21,29
28,7,203,1,32,"calc_suffixes@34-65@Rust/boyer_moore/src/main.rs","Rust/boyer_moore/src/main.rs","calc_suffixes","calc_suffixes pat : & [ u8 ] , m : usize",34,65
23,7,188,1,26,"calc_good_suffix@70-95@Rust/boyer_moore/src/main.rs","Rust/boyer_moore/src/main.rs","calc_good_suffix","calc_good_suffix pat : & [ u8 ] , m : usize",70,95
13,1,139,0,21,"init_boyer_moore@97-117@Rust/boyer_moore/src/main.rs","Rust/boyer_moore/src/main.rs","init_boyer_moore","init_boyer_moore pat : & [ u8 ]",97,117
36,8,254,0,46,"boyer_moore@123-168@Rust/boyer_moore/src/main.rs","Rust/boyer_moore/src/main.rs","boyer_moore","boyer_moore pat_data : & [ PatternData ] , sequence : & [ u8 ]",123,168
4,1,40,0,4,"main@174-177@Rust/boyer_moore/src/main.rs","Rust/boyer_moore/src/main.rs","main","main",174,177
33,6,234,2,56,"create_dfa@26-81@Rust/dfa_gap/src/main.rs","Rust/dfa_gap/src/main.rs","create_dfa","create_dfa pattern : & [ u8 ] , m : usize , k : u32 , dfa : & mut Vec < Vec < i32 > > ,",26,81
10,1,117,1,15,"init_dfa_gap@83-97@Rust/dfa_gap/src/main.rs","Rust/dfa_gap/src/main.rs","init_dfa_gap","init_dfa_gap pattern : & [ u8 ] , k : u32",83,97
29,8,218,0,37,"dfa_gap@99-135@Rust/dfa_gap/src/main.rs","Rust/dfa_gap/src/main.rs","dfa_gap","dfa_gap pat_data : & [ ApproxPatternData ] , sequence : & [ u8 ]",99,135
4,1,40,0,4,"main@140-143@Rust/dfa_gap/src/main.rs","Rust/dfa_gap/src/main.rs","main","main",140,143
15,2,84,1,19,"calc_s_positions@29-47@Rust/shift_or/src/main.rs","Rust/shift_or/src/main.rs","calc_s_positions","calc_s_positions pat : & [ u8 ] , m : usize , s_positions : & mut [ WordType ] ,",29,47
12,2,115,0,18,"init_shift_or@49-66@Rust/shift_or/src/main.rs","Rust/shift_or/src/main.rs","init_shift_or","init_shift_or pat : & [ u8 ]",49,66
20,5,145,0,27,"shift_or@72-98@Rust/shift_or/src/main.rs","Rust/shift_or/src/main.rs","shift_or","shift_or pat_data : & [ PatternData ] , sequence : & [ u8 ]",72,98
4,1,40,0,4,"main@104-107@Rust/shift_or/src/main.rs","Rust/shift_or/src/main.rs","main","main",104,107
56,10,408,3,81,"run@40-120@Rust/common/src/run.rs","Rust/common/src/run.rs","run","run init : & Initializer , code : & Algorithm , name : & str , argv : Vec < String > ,",40,120
51,9,400,1,76,"run_multi@146-221@Rust/common/src/run.rs","Rust/common/src/run.rs","run_multi","run_multi init : & MPInitializer < T > , code : & MPAlgorithm < T > , name : & str , argv : Vec < String > ,",146,221
61,10,447,3,87,"run_approx@241-327@Rust/common/src/run.rs","Rust/common/src/run.rs","run_approx","run_approx init : & AMInitializer , code : & AMAlgorithm , name : & str , argv : Vec < String > ,",241,327
13,2,118,2,17,"read_header@14-30@Rust/common/src/input.rs","Rust/common/src/input.rs","read_header","read_header rdr : & mut R , path : & String",14,30
17,3,148,1,27,"read_sequences@40-66@Rust/common/src/input.rs","Rust/common/src/input.rs","read_sequences","read_sequences filename : & String",40,66
3,1,19,1,3,"read_patterns@72-74@Rust/common/src/input.rs","Rust/common/src/input.rs","read_patterns","read_patterns filename : & String",72,74
41,5,317,1,57,"read_answers@82-138@Rust/common/src/input.rs","Rust/common/src/input.rs","read_answers","read_answers filename : & String",82,138
19,6,148,1,21,"build_next_table@19-39@Rust/kmp/src/main.rs","Rust/kmp/src/main.rs","build_next_table","build_next_table pat : & [ u8 ] , m : usize",19,39
11,1,107,0,19,"init_kmp@41-59@Rust/kmp/src/main.rs","Rust/kmp/src/main.rs","init_kmp","init_kmp pat : & [ u8 ]",41,59
27,7,187,0,36,"kmp@65-100@Rust/kmp/src/main.rs","Rust/kmp/src/main.rs","kmp","kmp pat_data : & [ PatternData ] , sequence : & [ u8 ]",65,100
4,1,40,0,4,"main@106-109@Rust/kmp/src/main.rs","Rust/kmp/src/main.rs","main","main",106,109
5,1,20,0,5,"new@36-40@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","new","new",36,40
3,1,22,2,3,"insert@42-44@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","insert","insert & mut self , element : usize",42,44
3,1,23,2,3,"contains@46-48@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","contains","contains & self , element : usize",46,48
85,3,231,1,98,"iter@50-147@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","iter","iter & self",50,147
17,4,129,0,26,"build_goto@152-177@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","build_goto","build_goto patterns : & [ & [ u8 ] ] , goto_fn : & mut Vec < Vec < i32 > > , output_fn : & mut Vec < Set > ,",152,177
31,7,233,0,46,"build_failure@182-227@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","build_failure","build_failure goto_fn : & [ Vec < i32 > ] , output_fn : & mut [ Set ]",182,227
12,1,154,0,16,"init_aho_corasick@229-244@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","init_aho_corasick","init_aho_corasick patterns : & [ & [ u8 ] ]",229,244
33,8,239,0,38,"aho_corasick@254-291@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","aho_corasick","aho_corasick pat_data : & [ MultiPatternData < Set > ] , sequence : & [ u8 ] ,",254,291
9,1,41,0,9,"main@296-304@Rust/aho_corasick/src/main.rs","Rust/aho_corasick/src/main.rs","main","main",296,304
